gauge_id,name,lat,lon,state,huc02,area_km2,area_gagesii_km2,region
01013500,"Fish River near Fort Kent, Maine",47.237394,-68.582642,ME,01,2260.093018,2252.696000,Northeast
01022500,"Narraguagus River at Cherryfield, Maine",44.607972,-67.935242,ME,01,587.675964,573.600600,Northeast
01030500,"Mattawamkeag River near Mattawamkeag, Maine",45.500975,-68.305956,ME,01,3671.033203,3676.172000,Northeast
01031500,"Piscataquis River near Dover-Foxcroft, Maine",45.175008,-69.314697,ME,01,771.486511,769.048200,Northeast
01047000,"Carrabassett River near North Anson, Maine",44.869200,-69.955103,ME,01,913.875000,909.097200,Northeast
01052500,"Diamond River near Wentworth Location, NH",44.877394,-71.057494,NH,01,393.509918,383.823400,Northeast
01054200,"Wild River at Gilead, Maine",44.390444,-70.979644,ME,01,180.186111,180.981000,Northeast
01055000,"Swift River near Roxbury, Maine",44.642747,-70.588783,ME,01,250.862564,250.641000,Northeast
01057000,"Little Androscoggin River near South Paris, Maine",44.303992,-70.539681,ME,01,190.282761,190.918800,Northeast
01073000,"OYSTER RIVER NEAR DURHAM, NH",43.148696,-70.965060,NH,01,31.325460,31.298400,Northeast
01078000,"SMITH RIVER NEAR BRISTOL, NH",43.566463,-71.747857,NH,01,222.125992,222.456600,Northeast
01118300,"PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.",41.474821,-71.834237,CT,01,10.407302,10.364400,Northeast
01121000,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",41.843709,-72.168966,CT,01,74.042000,70.253720,Northeast
01123000,"LITTLE RIVER NEAR HANOVER, CT.",41.671765,-72.052298,CT,01,77.666428,77.852710,Northeast
01134500,"MOOSE RIVER AT VICTORY, VT",44.511723,-71.837314,VT,01,194.683853,195.129900,Northeast
01137500,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",44.268674,-71.630362,NH,01,226.785980,228.554300,Northeast
01139000,"WELLS RIVER AT WELLS RIVER, VT",44.150341,-72.065092,VT,01,254.745895,246.333300,Northeast
01139800,"EAST ORANGE BRANCH AT EAST ORANGE, VT",44.092842,-72.335653,VT,01,23.170485,22.799700,Northeast
01142500,"AYERS BROOK AT RANDOLPH, VT",43.934510,-72.657882,VT,01,78.960869,82.166680,Northeast
01144000,"WHITE RIVER AT WEST HARTFORD, VT",43.714236,-72.418149,VT,01,1786.327881,1790.244000,Northeast
01169000,"NORTH RIVER AT SHATTUCKVILLE, MA",42.638418,-72.725092,MA,01,230.410416,230.641200,Northeast
01170100,"GREEN RIVER NEAR COLRAIN, MA",42.703417,-72.670648,MA,01,107.179672,106.992400,Northeast
01181000,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",42.237312,-72.895654,MA,01,243.354813,243.495000,Northeast
01187300,"HUBBARD RIVER NR. WEST HARTLAND, CT.",42.037316,-72.938991,MA,01,51.518730,53.919000,Northeast
01195100,"INDIAN RIVER NEAR CLINTON, CT.",41.305932,-72.531201,CT,01,14.704844,14.838300,Northeast
01333000,"GREEN RIVER AT WILLIAMSTOWN, MA",42.708969,-73.196773,MA,02,110.286331,112.164300,Northeast
01350000,SCHOHARIE CREEK AT PRATTSVILLE NY,42.319528,-74.436537,NY,02,613.564819,612.514800,Northeast
01350080,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,42.377026,-74.412924,NY,02,83.879745,83.840400,Northeast
01350140,MINE KILL NEAR NORTH BLENHEIM NY,42.428968,-74.472925,NY,02,41.939873,43.759800,Northeast
01365000,RONDOUT CREEK NEAR LOWES CORNERS NY,41.866482,-74.487100,NY,02,99.154144,99.568800,Northeast
01411300,TUCKAHOE RIVER AT HEAD OF RIVER NJ,39.306944,-74.820556,NJ,02,79.737534,79.317900,Northeast
01413500,EAST BR DELAWARE R AT MARGARETVILLE NY,42.144810,-74.653489,NY,02,421.987610,424.102500,Northeast
01414500,MILL BROOK NEAR DUNRAVEN NY,42.106199,-74.730435,NY,02,65.239799,64.451700,Northeast
01415000,TREMPER KILL NEAR ANDES NY,42.120087,-74.818493,NY,02,85.950851,85.628700,Northeast
01423000,WEST BRANCH DELAWARE RIVER AT WALTON NY,42.166196,-75.139891,NY,02,859.508484,859.680900,Northeast
01434025,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,41.995370,-74.500987,NY,02,9.630637,9.700200,Northeast
01435000,NEVERSINK RIVER NEAR CLARYVILLE NY,41.890092,-74.589879,NY,02,172.419479,172.458000,Northeast
01439500,"Bush Kill at Shoemakers, PA",41.088151,-75.037675,PA,02,302.899078,305.877600,Northeast
01440000,FLAT BROOK NEAR FLATBROOKVILLE NJ,41.106667,-74.952222,NJ,02,165.688385,167.720400,Northeast
01440400,"Brodhead Creek near Analomink, PA",41.084815,-75.214625,PA,02,170.607254,175.208400,Northeast
01451800,"Jordan Creek near Schnecksville, PA",40.661762,-75.626854,PA,02,137.210693,135.844800,Northeast
01466500,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ,39.885000,-74.505278,NJ,02,6.083870,5.376711,Northeast
01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",38.905778,-75.512750,DE,02,7.818421,9.004751,Northeast
01485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",38.228917,-75.471444,MD,02,116.240761,141.539400,Northeast
01486000,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD",38.213889,-75.671389,MD,02,12.426629,11.180700,Northeast
01487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",38.728333,-75.561861,DE,02,195.201630,187.410200,Northeast
01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",38.997194,-75.785806,MD,02,292.543549,292.040100,Northeast
01510000,OTSELIC RIVER AT CINCINNATUS NY,42.541181,-75.899642,NY,02,380.565521,382.986000,Northeast
01516500,"Corey Creek near Mainesburg, PA",41.790907,-77.014688,PA,02,31.584349,31.483800,Northeast
01518862,"Cowanesque River at Westfield, PA",41.923126,-77.531930,PA,02,234.552612,233.910900,Northeast
01532000,"Towanda Creek near Monroeton, PA",41.707020,-76.484665,PA,02,556.609436,553.941000,Northeast
01539000,"Fishing Creek near Bloomsburg, PA",41.078141,-76.431056,PA,02,709.353394,701.779500,Northeast
01542810,"Waldy Run near Emporium, PA",41.578952,-78.292512,PA,02,13.565736,13.624200,Northeast
01543000,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",41.413396,-78.196952,PA,02,704.175659,705.497400,Northeast
01543500,"Sinnemahoning Creek at Sinnemahoning, PA",41.317285,-78.103060,PA,02,1773.383545,1778.258000,Northeast
01544500,"Kettle Creek at Cross Fork, PA",41.475899,-77.825825,PA,02,352.087830,355.064400,Northeast
01545600,"Young Womans Creek near Renovo, PA",41.389512,-77.690819,PA,02,119.606300,119.997500,Northeast
01547700,"Marsh Creek at Blanchard, PA",41.059509,-77.605826,PA,02,114.169655,113.538600,Northeast
01548500,"Pine Creek at Cedar Run, PA",41.521736,-77.447480,PA,02,1563.684082,1557.047000,Northeast
01549500,"Blockhouse Creek near English Center, PA",41.473683,-77.230809,PA,02,97.600815,97.485300,Northeast
01550000,"Lycoming Creek near Trout Run, PA",41.418410,-77.032746,PA,02,447.876404,452.675700,Northeast
01552000,"Loyalsock Creek at Loyalsockville, PA",41.325078,-76.912464,PA,02,1126.163208,1129.486000,Northeast
01552500,"Muncy Creek near Sonestown, PA",41.357024,-76.534671,PA,02,61.615368,60.638400,Northeast
01557500,"Bald Eagle Creek at Tyrone, PA",40.683673,-78.233624,PA,02,114.169655,115.296300,Northeast
01567500,"Bixler Run near Loysville, PA",40.370916,-77.402209,PA,02,38.833214,38.772900,Northeast
01568000,"Sherman Creek at Shermans Dale, PA",40.323419,-77.168870,PA,02,535.898376,534.394800,Northeast
01580000,"DEER CREEK AT ROCKS, MD",39.629972,-76.403306,MD,02,244.390366,244.369800,Northeast
01583500,"WESTERN RUN AT WESTERN RUN, MD",39.510778,-76.676500,MD,02,154.815079,155.849400,Northeast
01586610,"MORGAN RUN NEAR LOUISVILLE, MD",39.451889,-76.955306,MD,02,72.488670,72.704700,Northeast
01591400,"CATTAIL CREEK NEAR GLENWOOD, MD",39.255972,-77.051056,MD,02,59.285374,59.094000,Northeast
01594950,"MCMILLAN F NEAR FORT PENDLETON, MD",39.276690,-79.390310,MD,02,5.954426,6.118200,Northeast
01596500,"SAVAGE RIVER NEAR BARTON, MD",39.570056,-79.101944,MD,02,127.114059,124.650500,Northeast
01605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",38.635672,-79.337820,WV,02,463.409698,463.849200,Ohio Valley
01606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",38.991221,-79.175871,WV,02,1685.361572,1684.547000,Ohio Valley
01613050,"Tonoloway Creek near Needmore, PA",39.898421,-78.132229,PA,02,27.701027,27.898200,Northeast
01620500,"NORTH RIVER NEAR STOKESVILLE, VA",38.337626,-79.240036,VA,02,44.787640,44.740260,Southeast
01632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",38.637063,-78.852803,VA,02,543.665039,543.357000,Southeast
01632900,"SMITH CREEK NEAR NEW MARKET, VA",38.693450,-78.642794,VA,02,242.319260,245.048400,Southeast
01634500,"CEDAR CREEK NEAR WINCHESTER, VA",39.081218,-78.329449,VA,02,264.065857,263.981700,Southeast
01638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",39.254547,-77.576378,VA,02,231.704849,231.995100,Southeast
01639500,"BIG PIPE CREEK AT BRUCEVILLE, MD",39.612361,-77.237444,MD,02,264.065857,267.178500,Northeast
01644000,"GOOSE CREEK NEAR LEESBURG, VA",39.019553,-77.577492,VA,02,859.508484,859.169800,Southeast
01658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",38.587343,-77.428596,VA,02,19.727274,19.342240,Southeast
01664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",38.530680,-77.813605,VA,02,1602.517334,1605.101000,Southeast
01666500,"ROBINSON RIVER NEAR LOCUST DALE, VA",38.325130,-78.095556,VA,02,463.409698,463.146300,Southeast
01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",38.350408,-77.974997,VA,02,1211.596313,1209.747000,Southeast
01669000,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",37.877082,-76.900521,VA,02,72.229782,71.840710,Southeast
01669520,"DRAGON SWAMP AT MASCOT, VA",37.633753,-76.696347,VA,02,282.188019,277.385400,Southeast
02011400,"JACKSON RIVER NEAR BACOVA, VA",38.042347,-79.881444,VA,02,406.454315,407.716200,Southeast
02011460,"BACK CREEK NEAR SUNRISE, VA",38.245401,-79.768663,VA,02,157.662857,156.340800,Southeast
02013000,"DUNLAP CREEK NEAR COVINGTON, VA",37.802902,-80.047004,VA,02,419.398712,424.776600,Southeast
02014000,"POTTS CREEK NEAR COVINGTON, VA",37.729014,-80.042280,VA,02,396.098785,396.783000,Southeast
02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",38.195403,-79.570323,VA,02,284.776917,285.406200,Southeast
