gauge_id,tsnow,ddf,ft,wm,b,im,ke,fc,ksoil,hmaxaq,gwc,gwe,qc,lf,nshape,kmult,area_km2,train_nse,test_nse,test_kge
01013500,0.933238,5.15311,0.912595,94.1794,7.51265,0.0312863,0.965846,0.000752097,0.268781,569.353,1.38202,6.01841,0.0703627,0.0735144,2.14343,0.83278,2260.09,0.930865,0.902919,0.906527
01022500,-1.65788,1.52603,0.94813,43.5811,7.82265,0.0511357,0.891236,0.00756145,0.20819,257.302,0.0679604,4.08149,0.394498,0.0240049,2.68358,1.49462,587.676,0.84486,0.7563,0.850689
01030500,-0.191883,2.54364,0.0671969,1703.84,0.13092,0.429686,0.945159,0.00496503,0.0671846,32.7556,0.0119501,7.72104,0.245259,0.0565844,3.11817,1.31252,3671.03,0.893745,0.840299,0.90672
01031500,-1.2153,1.95072,0.949326,76.2457,6.78418,0.0015034,0.97563,0.00018095,0.0568158,629.885,0.115563,1.76503,0.550588,0.00151788,2.77822,0.757868,771.487,0.848394,0.789595,0.885837
01047000,-1.12997,2.29209,0.928052,117.051,4.66079,0.281421,0.816024,2.48534,0.0239601,22.7088,1.21499,7.99581,0.283357,0.00345946,2.65182,1.02624,913.875,0.81416,0.789528,0.816768
01052500,-0.680014,3.07962,0.141104,39.7885,0.536461,0.281592,0.938715,3.26092,0.0356012,294.248,0.0260446,1.78188,0.0500267,0.0188725,2.15504,1.97344,393.51,0.840589,0.773845,0.863827
01054200,-1.29313,2.13856,0.161193,180.311,3.55011,0.174532,0.939188,3.31068,0.0173318,2123.73,0.0801677,1.69936,0.209597,0.00765642,1.28529,0.358623,180.186,0.632338,0.600813,0.59237
01055000,-0.824996,3.01464,0.224243,89.5812,0.279906,0.450074,0.841625,0.722619,0.00427242,54.2538,0.0150717,2.81936,0.0597016,0.00734737,1.63735,1.78776,250.863,0.723999,0.565355,0.641884
01057000,-1.16513,2.10967,0.187056,96.1797,5.05028,0.000165146,1.04136,0.00133626,0.0388954,172.732,0.0114471,5.11166,0.44317,0.0658449,1.47989,0.359499,190.283,0.84354,0.728598,0.806841
01073000,-0.595369,2.23449,0.949922,67.1259,9.86993,0.0296987,0.997824,0.000543339,0.499824,253.153,0.01016,7.05826,0.730981,0.0370729,2.14234,0.452408,31.3255,0.849914,0.763734,0.881598
01078000,-0.60399,2.59943,0.0448007,59.5662,0.87847,0.000969061,1.20773,0.000525908,0.0749231,275.712,0.0133152,5.55516,0.418961,0.0631453,4.45613,0.910301,222.126,0.821386,0.700126,0.780816
01118300,-0.450119,1.26751,0.406152,425.721,5.05166,0.291964,0.874796,3.576,0.0429488,216.208,0.111156,1.99298,0.407097,0.0227563,3.06401,0.973237,10.4073,0.826389,0.741337,0.839963
01121000,0.428308,3.05699,0.13033,135.563,0.328096,0.182133,0.954815,2.78239,0.028688,203.725,0.129174,2.2642,0.331759,0.0213533,2.3886,0.44463,74.042,0.816958,0.610453,0.784575
01123000,-0.213493,2.7638,0.629607,147.033,0.304855,0.288812,0.883549,3.09115,0.00846915,73.8125,0.0538025,2.62678,0.0526086,0.198828,1.62685,3.97885,77.6664,0.817364,0.698185,0.842402
01134500,0.727602,4.48439,0.0420715,385.998,3.86904,0.447548,1.05626,0.131015,0.0557246,151.258,0.0251205,4.20667,0.527791,0.00489044,4.16702,1.18825,194.684,0.759072,0.678801,0.779981
01137500,-0.150657,2.51474,0.935285,64.13,9.6318,0.265453,1.17228,1.90279,0.499638,423.654,4.322,1.56612,0.492991,0.000112941,2.77527,0.320757,226.786,0.717367,0.608092,0.778468
01139000,-0.597142,1.99914,0.097262,143.857,3.24392,0.313998,0.962132,2.56677,0.0208372,192.164,0.0349696,2.83604,0.0872991,0.00266828,2.54878,1.90571,254.746,0.819895,0.734312,0.809815
01139800,0.35422,3.58052,0.229051,500.218,0.375626,0.112179,1.06855,0.0142445,0.436219,498.083,0.933465,5.60389,0.906968,0.000681127,4.01235,0.626727,23.1705,0.759589,0.667595,0.786564
01142500,-0.0597997,3.13674,0.100743,244.349,3.38219,0.241677,0.968988,2.77369,0.0387125,255.225,0.161124,1.54965,0.189718,0.00244297,1.72361,2.52854,78.9609,0.795406,0.699918,0.77099
01144000,-0.0599852,2.8906,0.671723,256.982,7.66014,0.309018,0.995052,2.30004,0.0306228,79.5739,0.0130338,3.93936,0.260807,0.000100867,2.61332,0.622031,1786.33,0.811917,0.74492,0.827156
01169000,-0.754999,1.76743,0.135783,49.5872,0.432192,0.301668,1.07114,3.69595,0.0664077,164.328,0.0107298,5.64279,0.194657,0.0103005,2.66801,0.171766,230.41,0.777515,0.611306,0.782017
01170100,-0.580751,1.9172,0.105123,88.9488,1.03825,0.310761,0.948011,4.20946,0.0426878,167.211,0.011415,4.2789,0.122687,0.0521178,1.80458,1.57553,107.18,0.751799,0.699182,0.801316
01181000,-0.710336,2.47833,0.148288,79.8971,0.390526,0.270338,1.08315,4.37275,0.0379138,98.8769,0.0106923,5.63541,0.289494,0.000729985,1.52761,0.524773,243.355,0.773038,0.69261,0.819122
01187300,-0.789903,2.30097,0.0736864,175.965,0.333864,0.265597,1.03516,2.84888,0.00686968,64.6923,0.0180342,4.07246,0.174415,0.0653005,3.73277,1.74156,51.5187,0.752786,0.699271,0.741816
01195100,-0.750062,1.39693,0.04431,232.664,0.236581,0.216048,1.02524,1.52258,0.00544406,50.4045,0.0101107,3.60951,0.106602,0.0941461,4.17219,3.21406,14.7048,0.772249,0.617396,0.747429
01333000,-1.12117,2.66112,0.337807,96.5019,3.16138,0.21007,0.98724,0.899772,0.433567,226.514,0.0334618,5.66275,0.394651,0.000224242,2.62848,0.408195,110.286,0.746556,0.686819,0.790161
01350000,-0.810297,2.98753,0.87057,100.338,4.1949,0.282336,1.0149,2.8046,0.0559806,226.428,0.390383,0.811841,0.324188,0.0735192,1.68972,0.305036,613.565,0.769777,0.630787,0.694349
01350080,-0.57704,3.82012,0.942892,159.837,7.27844,0.117754,1.08174,0.0174677,0.442257,147.149,0.131514,4.9854,0.970551,0.220613,1.88474,0.523043,83.8797,0.724236,0.561415,0.494688
01350140,-0.028193,3.72953,0.764217,416.667,4.03926,0.450432,1.23726,1.192,0.0024605,33.8401,0.713596,8.53831,0.220384,0.00133588,1.21341,0.659316,41.9399,0.668991,0.471822,0.495019
01365000,-0.478155,3.46776,0.945786,65.6088,8.8132,0.243223,0.835294,4.1841,0.484017,251.309,0.0511423,5.00254,0.250777,0.0219823,1.72333,0.141141,99.1541,0.707292,0.596904,0.713646
01411300,0.429918,2.22968,0.00784387,623.015,0.151403,0.00627885,0.829024,0.00044428,0.00227163,102.098,0.0663701,2.7826,0.282295,0.165933,7.28591,1.08674,79.7375,0.780192,0.64342,0.602541
01413500,-0.922219,3.05857,0.94409,113.202,9.24817,0.0532801,1.0672,0.000616073,0.499086,253.633,0.0105659,7.7629,0.839313,0.107675,1.99078,0.412264,421.988,0.776185,0.648551,0.614293
01414500,-0.737361,3.31728,0.470856,1340.3,2.7461,0.331884,1.08817,0.0110037,0.0553621,27.2024,0.0301602,7.18656,0.631829,0.0769502,2.02984,0.548197,65.2398,0.664276,0.564681,0.602136
01415000,-0.865411,3.25497,0.412548,39.4625,0.743462,0.299825,1.24451,2.51247,0.495096,265.797,0.0120314,6.1995,0.252052,0.129898,3.05818,1.43429,85.9509,0.730781,0.597711,0.643565
01423000,-0.718688,3.90462,0.944398,56.8736,1.72229,0.122696,1.07856,4.28335,0.497404,205.904,0.0101011,6.84474,0.37374,0.0854049,1.85424,1.17513,859.508,0.839651,0.689045,0.718568
01434025,-0.341558,5.02433,0.904188,85.3319,0.0556104,0.290054,1.04012,0.664965,0.131597,61.4574,0.0148971,7.25397,0.991248,0.135244,2.36136,0.768175,9.63064,0.621146,0.541195,0.60733
01435000,-0.991662,2.9936,0.70342,15.3955,1.84333,0.466392,0.974781,3.42067,0.497653,136.881,0.0240102,3.89403,0.06899,0.00613525,1.52806,0.421686,172.419,0.722625,0.597827,0.655258
01439500,-0.965147,1.93134,0.94781,82.6547,0.0642097,0.182939,0.820135,0.000679259,0.0541809,145.9,0.0137682,4.42851,0.395995,0.0874742,1.76253,0.313772,302.899,0.860797,0.689352,0.736096
01440000,-0.626143,1.79655,0.9497,113.684,9.97352,0.159832,0.786605,4.30551,0.499329,174.79,0.0351678,4.75117,0.452297,0.171394,1.96825,0.168451,165.688,0.812902,0.787184,0.803029
01440400,-0.855619,1.73339,0.949637,79.0843,0.381036,0.141905,0.825046,2.69334,0.0585831,219.892,0.0264288,3.12219,0.317939,0.0967733,1.04337,3.16356,170.607,0.773452,0.546428,0.676523
01451800,-1.03,4.3017,0.536008,48.0213,1.87867,0.217321,0.711989,3.05682,0.49568,126.66,0.0182522,5.11255,0.258895,0.134154,1.56144,1.9293,137.211,0.835537,0.665907,0.775851
01466500,1.49997,3.68339,0.13567,259.896,0.646816,0.061372,1.36147,2.62284,0.498367,1197.36,0.085538,3.55874,0.121362,0.136853,5.11598,3.82275,6.08387,0.788364,0.579904,0.703047
01484100,-0.242151,2.7916,0.0620364,309.027,0.177366,0.210038,0.997202,2.47629,0.00480424,131.909,0.0511336,3.64836,0.050376,0.0376609,3.74902,3.86571,7.81842,0.764311,0.614815,0.661127
01485500,-1.02582,1.00184,0.231128,227.538,0.203363,0.254663,0.767246,3.53789e-05,0.00245557,24.8548,0.0321809,2.90555,0.368959,0.177132,5.39447,1.80754,116.241,0.832619,0.810863,0.791589
01486000,-1.98787,1.00095,0.152979,315.402,0.227162,0.000204376,0.694739,0.000213279,0.00268209,83.2317,0.104523,0.903045,0.440235,0.26089,1.75674,0.271259,12.4266,0.640087,0.814643,0.79406
01487000,0.190899,4.3805,0.248053,131.518,8.66735,0.0620832,0.795131,1.51014,0.499775,513.786,0.0108977,5.7816,0.106975,0.137756,4.78492,1.19138,195.202,0.802089,0.848395,0.916457
01491000,-0.996719,1.68152,0.945437,224.238,0.279843,0.337392,0.817643,2.53491,0.00319062,23.4985,0.115533,1.96371,0.1454,0.0434802,4.51696,1.46279,292.544,0.703996,0.682686,0.690029
01510000,-0.376419,3.27381,0.88961,31.6745,0.890964,0.230541,0.99146,3.32847,0.240042,145.217,0.0180004,5.45658,0.31112,0.000194805,1.51905,1.99455,380.566,0.807293,0.683243,0.783895
01516500,-1.41226,2.32473,0.535561,141.849,0.300497,0.370385,0.963959,2.9618,0.00442457,108.455,0.117845,1.30176,0.126405,0.316039,2.49199,2.08878,31.5843,0.644731,0.426218,0.448129
01518862,0.391849,4.42358,0.832464,180.81,8.42637,0.396574,0.987686,3.01791,0.00582619,11.6327,0.0105486,4.24763,0.173519,0.0908006,1.59846,1.93262,234.553,0.649246,0.578756,0.6567
01532000,-0.816379,2.88161,0.947262,51.8653,3.47405,0.170967,0.998707,4.47309,0.492667,114.077,0.0104195,6.47771,0.649064,0.116243,1.85527,0.228911,556.609,0.783374,0.498906,0.562479
01539000,-0.507481,2.31763,0.934246,39.6685,0.19678,0.235359,0.887879,3.01978,0.142927,181.097,0.0120444,5.07764,0.410312,0.000331783,1.91524,0.969893,709.353,0.856678,0.680377,0.830325
01542810,-0.475009,2.93284,0.94962,70.7878,0.235168,0.000309795,0.934097,5.79085e-05,0.0152763,8.03432,0.0145237,5.41756,0.512507,0.141337,1.98332,1.00495,13.5657,0.7333,0.678872,0.75928
01543000,-0.484981,2.6304,0.12201,116.549,0.164906,0.258582,0.957861,2.95418,0.00624133,108.893,0.020481,0.967137,0.118324,0.025073,1.25549,3.61565,704.176,0.843824,0.706906,0.821518
01543500,-0.963122,2.09561,0.811081,39.9792,0.242989,0.0463636,0.956239,0.000724769,0.155294,337.312,0.0131204,4.0076,0.977989,0.0571066,1.38985,1.53991,1773.38,0.863889,0.720674,0.842043
01544500,-0.795347,2.7626,0.948053,116.049,5.55942,2.87641e-05,0.917669,0.0031182,0.499968,121.057,0.0104011,7.54722,0.896576,0.147918,2.86455,0.623674,352.088,0.826409,0.707159,0.711034
01545600,-1.00126,2.22189,0.947763,130.105,9.82703,0.000156505,0.901201,0.000761947,0.499433,127.429,0.0161639,6.71136,0.959156,0.216862,4.35561,1.02175,119.606,0.819,0.719878,0.68566
01547700,-0.590051,2.00444,0.947087,49.1837,0.556639,0.011966,0.911498,0.0007164,0.199566,330.932,0.0701018,2.43719,0.935671,0.000202653,1.20942,0.435169,114.17,0.83078,0.635722,0.79844
01548500,-0.839893,2.47953,0.932984,46.7737,0.394894,0.0453592,0.875535,4.40813,0.126884,287.852,0.201255,1.3578,0.403482,0.187328,1.44214,1.73481,1563.68,0.865501,0.689078,0.733952
01549500,-0.917864,2.41195,0.949688,65.9913,9.90403,0.0742271,0.944632,0.000551141,0.48961,122.566,0.0110429,6.62001,0.897947,0.218393,1.99577,0.480935,97.6008,0.787859,0.628888,0.571876
01550000,-0.716253,2.37764,0.942702,54.8335,6.24794,0.0770805,0.905916,4.45892,0.498395,121.144,0.0102489,6.60964,0.40075,0.155908,2.83515,0.853728,447.876,0.816269,0.624375,0.627198
01552000,-0.941477,2.27542,0.94971,39.0744,1.15476,0.000686061,1.00104,0.000660037,0.496193,145.627,0.0119337,6.91064,0.795831,0.100659,1.35504,0.179956,1126.16,0.894051,0.740708,0.770062
01552500,-1.19817,1.81305,0.942585,58.6212,9.2224,0.113344,0.952811,0.0077242,0.472945,113.208,0.0115004,6.63754,0.897432,0.0636741,1.88431,0.431287,61.6154,0.775082,0.550026,0.710567
01557500,-0.680868,1.88794,0.949339,68.6832,0.313252,0.444788,0.824135,3.10288,0.00840672,35.9552,0.0145425,3.26524,0.108462,0.000356652,1.50071,3.93039,114.17,0.791751,0.673934,0.824638
01567500,-0.120981,5.04001,0.945684,59.2319,0.0781347,0.177634,0.909072,3.82139,0.0959601,486.131,0.0217104,4.15253,0.531452,0.0231605,3.09248,0.551905,38.8332,0.774826,0.559527,0.652345
01568000,-1.08991,1.46166,0.949675,51.7615,0.558867,0.055553,0.791175,4.8716,0.131278,220.356,0.0694864,2.92276,0.533611,0.175288,1.14655,1.82836,535.898,0.846934,0.694559,0.737018
01580000,-1.97963,4.35344,0.0462628,197.512,1.48974,0.0721537,1.05543,3.79372,0.0790891,498.277,0.1885,2.35543,0.242655,0.0978414,2.18138,0.296636,244.39,0.761505,0.623726,0.660344
01583500,-1.99956,6.59483,0.0239066,383.995,3.34726,0.0697801,1.17267,3.87583,0.0463934,558.458,0.0788689,3.23115,0.150716,0.0122722,3.16565,0.363979,154.815,0.652652,0.593458,0.603601
01586610,-1.955,1.05302,0.0408343,386.759,0.114274,0.0430432,0.989642,1.66012,0.00471896,162.059,0.0377235,3.46161,0.887041,0.057597,1.61258,2.3665,72.4887,0.669217,0.45077,0.629318
01591400,-1.84005,1.87329,0.885145,56.3457,1.86545,0.0496094,1.02102,2.37899,0.497334,484.017,0.101378,3.04935,0.297826,0.0626151,1.82149,1.84606,59.2854,0.62054,0.622692,0.703457
01594950,-1.14214,1.96867,0.17787,74.4734,1.709,0.0397727,1.03869,0.000148524,0.119444,462.465,0.0153561,3.54328,0.83713,0.0905369,1.46234,0.711397,5.95443,0.697375,0.638114,0.750766
01596500,-0.574979,2.77732,0.804944,105.477,6.27292,0.00321633,0.977519,3.85931e-05,0.0109806,28.2671,0.022967,3.05595,0.431588,0.000147851,1.34557,0.404103,127.114,0.798577,0.733507,0.835144
01605500,-1.65997,3.23971,0.94959,42.5372,0.181072,0.0607018,1.00335,4.67365e-05,0.0994838,324.603,0.103747,2.50266,0.732922,0.162528,1.81515,0.154659,463.41,0.757655,0.585274,0.736965
01606500,-1.99963,2.06589,0.949138,39.0002,0.121917,0.234044,1.04298,1.99913,0.0693461,255.561,0.0269022,3.83174,0.30442,0.138808,1.52709,1.22119,1685.36,0.786553,0.626028,0.763304
01613050,-1.89025,1.7491,0.92633,49.1928,0.163283,0.203602,0.886312,3.14231,0.0877241,167.223,0.371927,0.870952,0.459703,0.0683959,5.6867,0.447034,27.701,0.772753,0.477508,0.612144
01620500,-0.589585,4.18399,0.69417,29.3317,0.0806703,0.272447,1.11059,4.3485,0.435921,127.563,0.010309,6.13595,0.515481,0.000205489,3.73498,1.77862,44.7876,0.596233,0.454059,0.514894
01632000,-1.95005,1.39115,0.941088,45.9816,0.252234,0.273995,0.961694,3.52204,0.0184261,73.7982,0.0202747,3.28049,0.20763,0.192527,1.06228,2.17986,543.665,0.623773,0.488355,0.534896
01632900,-0.924879,2.20163,0.946709,48.9462,0.287404,0.153609,1.04263,3.94929,0.126819,192.558,0.185178,2.07809,0.251814,0.041087,2.86771,0.845848,242.319,0.829245,0.230965,0.639219
01634500,-1.54907,2.15925,0.567835,116.016,0.334855,0.368327,0.922748,1.69619,0.00384445,34.3405,0.0131067,3.23146,0.0800127,0.12332,1.00685,3.34537,264.066,0.65257,0.503836,0.531655
01638480,-0.113872,3.49417,0.470785,143.217,0.312342,0.141189,0.762364,2.97781,0.00882563,111.494,0.142535,1.71794,0.25902,0.0888301,2.61108,0.69299,231.705,0.639615,0.603333,0.742267
01639500,-1.60249,1.96937,0.234609,138.537,0.270602,0.22325,0.684752,2.82994,0.0084701,169.867,0.0543539,2.3306,0.119773,0.352904,2.36249,1.16503,264.066,0.726118,0.694361,0.744562
01644000,-0.190044,2.92996,0.927158,169.404,0.200691,0.183025,0.723656,2.93572,0.00677413,117.325,0.0104586,3.84416,0.253226,0.147788,1.10206,1.43937,859.508,0.749385,0.694813,0.820675
01658500,-1.30389,3.82246,0.00687326,279.218,0.2023,0.0266313,0.874187,2.6515,0.00398704,181.143,0.0241718,2.54681,0.230699,0.247457,1.33984,0.329942,19.7273,0.489693,0.622769,0.673399
01664000,-1.45007,1.19649,0.369175,101.696,0.24999,0.111931,0.859263,0.000199723,0.0164493,126.505,0.12575,2.07939,0.504671,0.174017,1.60128,0.554596,1602.52,0.809776,0.731802,0.788416
01666500,-1.41834,1.81676,0.0232844,118.208,0.160471,0.075086,0.974591,3.65428,0.0243195,327.501,0.0371302,3.51333,0.184998,0.00750281,1.88943,1.31235,463.41,0.738473,0.466838,0.665606
01667500,-0.794984,3.74109,0.250108,93.4654,0.423537,0.120993,0.78689,3.29723,0.0203586,222.886,0.0867797,2.11693,0.0811776,0.222577,1.05527,2.36093,1211.6,0.788842,0.690379,0.662682
01669000,-0.0729467,1.00293,0.0553888,127.281,0.424991,0.0536649,1.02866,0.897276,0.0599982,498.251,0.0229847,4.4536,0.219007,0.0620669,4.47011,2.01917,72.2298,0.754647,0.73681,0.81047
01669520,-0.775208,1.55281,0.939137,78.1572,9.78319,0.26132,0.77913,1.06858,0.136338,310.269,0.225361,2.28577,0.30046,0.130159,2.92499,3.90497,282.188,0.654137,0.680535,0.663548
02011400,-1.98921,2.12125,0.886331,46.0392,0.322936,0.0860296,0.918536,0.973914,0.0531262,278.737,0.0239296,3.30654,0.0836922,0.323491,1.01221,3.50238,406.454,0.775652,0.659207,0.741216
02011460,-1.47523,2.31699,0.131888,97.6706,0.331135,0.218689,0.99112,1.18164,0.00942519,116.025,0.0169396,3.2036,0.118105,0.0572699,1.73851,2.80857,157.663,0.714707,0.663692,0.743523
02013000,-1.34216,3.10347,0.892798,92.0864,0.184883,0.215231,0.798488,1.2493,0.00765306,196.315,0.0233947,2.57662,0.205479,0.301839,1.08175,2.7497,419.399,0.709144,0.671734,0.652
02014000,-1.20256,3.83364,0.12459,66.3816,0.27716,0.0448838,0.892425,2.34905,0.0367183,261.98,0.0458008,2.48853,0.186649,0.214111,1.0402,3.0954,396.099,0.742561,0.649139,0.783622
02015700,-1.17591,2.02384,0.157142,62.7817,0.259212,0.27351,0.736954,1.61709,0.0162171,91.5995,0.0283707,3.53376,0.0755265,0.224145,1.15853,3.44308,284.777,0.695479,0.699702,0.75958
02016000,-1.89996,1.47421,0.935351,34.7335,0.196276,0.170922,0.875282,1.43917,0.0822825,192.68,0.0810514,2.10906,0.465733,0.143543,2.27843,1.03436,1193.47,0.80808,0.719951,0.854061
02017500,-0.180306,5.04195,0.949025,60.9564,9.09995,0.21464,0.819599,2.88995,0.218586,163.087,0.0380996,2.97065,0.139441,0.155866,1.4614,1.01955,271.833,0.756295,0.741916,0.729484
02018000,-1.48478,1.71421,0.949137,45.7975,0.259178,0.17624,0.905353,1.6748,0.0703643,180.676,0.0140014,3.87068,0.359828,0.0536792,2.72213,0.898665,851.742,0.859368,0.741862,0.798133
02027000,-1.99902,1.24984,0.949522,67.1969,9.23748,0.0980107,0.882569,4.4225,0.499928,185.5,0.0102786,6.56079,0.4114,0.0966659,2.27413,1.35886,240.766,0.619299,0.599237,0.611973
