gauge_id,nse,kge,corr,bias,n_days
01013500,0.9032,0.8118,0.9605,0.8645,253
01022500,0.8600,0.7359,0.9507,1.0365,253
01030500,0.8231,0.8022,0.9375,1.1016,253
01031500,0.8085,0.8595,0.8993,1.0239,251
01047000,0.7215,0.8263,0.8515,0.9936,253
01052500,0.4632,0.4050,0.7166,0.7125,253
01054200,0.6022,0.4021,0.8355,0.5819,253
01055000,0.5311,0.6871,0.7368,0.9450,253
01057000,0.8415,0.7443,0.9351,0.9170,253
01073000,0.8545,0.9128,0.9287,1.0488,253
01078000,0.6585,0.5030,0.8843,0.7115,251
01118300,0.4553,0.7302,0.7341,0.9598,251
01121000,0.7291,0.5755,0.9393,1.3375,253
01123000,0.8234,0.8125,0.9373,1.0507,253
01134500,0.8152,0.7972,0.9084,0.8750,251
01137500,0.5984,0.5866,0.7957,0.7994,253
01139000,0.8806,0.8544,0.9428,0.9139,253
01139800,0.8513,0.8696,0.9291,1.1029,253
01142500,0.7788,0.7365,0.8970,0.8646,253
01144000,0.8936,0.9440,0.9480,0.9910,252
01169000,0.7462,0.8149,0.8644,1.0416,251
01170100,0.7994,0.8137,0.8969,0.9186,252
01181000,0.8055,0.7249,0.9415,1.1735,251
01187300,0.8415,0.7096,0.9461,1.0029,253
01195100,0.4829,0.5445,0.6973,0.9352,253
01333000,0.6812,0.6432,0.8423,0.8597,251
01350000,0.5594,0.3856,0.8396,0.7254,250
01350080,0.6446,0.5016,0.8583,0.6856,253
01350140,0.7568,0.6127,0.9044,0.6638,202
01365000,0.7890,0.6148,0.9377,0.8265,251
01411300,0.4589,0.5522,0.7691,1.3560,244
01413500,0.7441,0.5754,0.9240,0.8300,251
01414500,0.4328,0.2794,0.7861,0.6126,251
01415000,0.4979,0.3756,0.8135,0.6668,208
01423000,0.5611,0.4635,0.8240,0.7297,253
01434025,0.6183,0.7160,0.8279,0.7771,253
01435000,0.8997,0.8006,0.9597,0.9213,250
01439500,0.7817,0.7098,0.9129,0.8228,251
01440000,0.8871,0.8502,0.9457,1.0068,253
01440400,0.9136,0.9366,0.9596,1.0280,227
01451800,0.6828,0.7438,0.8281,1.0754,251
01466500,-1.9596,-0.5184,0.8687,0.9851,251
01484100,0.0722,0.4676,0.7564,1.4045,253
01485500,-7.9665,-1.6818,0.5453,2.7401,248
01486000,-2.5903,-0.4100,0.5724,1.9720,253
01487000,-0.0643,0.3671,0.7925,1.1474,253
01491000,0.7192,0.6489,0.8706,0.9920,253
01510000,0.8532,0.7609,0.9393,0.9889,253
01516500,0.4522,0.2755,0.8217,0.6218,253
01518862,0.5329,0.4138,0.8196,0.6497,253
01532000,0.7634,0.8765,0.8816,0.9652,253
01539000,0.8284,0.8683,0.9168,0.9075,237
01542810,0.6211,0.5381,0.8262,0.8014,253
01543000,0.7469,0.7286,0.8805,0.8277,253
01543500,0.8015,0.7204,0.9200,0.8477,253
01544500,0.6232,0.4812,0.9087,0.6443,253
01545600,0.5300,0.3728,0.8844,0.6280,253
01547700,0.7409,0.6930,0.9346,1.0308,253
01548500,0.5497,0.4074,0.8709,0.6409,251
01549500,0.6248,0.5081,0.8677,0.6799,251
01550000,0.6251,0.5256,0.8606,0.6904,251
01552000,0.5127,0.6632,0.8448,0.9041,253
01552500,0.7068,0.8420,0.8611,0.9340,253
01557500,0.2346,0.5385,0.7683,1.2516,253
01567500,0.4810,0.6050,0.7060,1.1243,253
01568000,0.6218,0.6610,0.8089,1.2083,253
01580000,0.4885,0.6472,0.7072,0.9682,249
01583500,0.4358,0.6091,0.6864,0.8810,253
01586610,0.7347,0.7467,0.8788,0.8316,219
01591400,0.1386,0.5789,0.6975,1.1084,253
01596500,0.6109,0.4184,0.8789,0.6957,251
01605500,0.4419,0.6073,0.7057,1.2003,251
01606500,0.7319,0.6694,0.8756,0.8391,226
01613050,0.3920,0.5598,0.6468,1.1364,253
01620500,0.4999,0.3381,0.8107,0.5318,250
01632000,0.5766,0.6712,0.7762,1.2138,251
01632900,0.3444,0.6435,0.7673,1.0965,250
01634500,0.4621,0.5227,0.6807,0.9870,236
01638480,-0.4895,-0.0324,0.7557,1.9249,248
01639500,0.7359,0.7155,0.8705,1.1718,252
01644000,-0.3509,-0.0332,0.8462,1.9475,253
01658500,-0.7447,0.0773,0.5944,1.6015,223
01664000,0.7651,0.8346,0.8772,1.0621,253
01666500,0.2366,0.5444,0.6884,1.3303,237
01667500,0.3597,0.6228,0.7334,1.2664,231
01669000,0.7492,0.8740,0.8755,0.9808,228
01669520,-1.7712,-0.2569,0.7910,1.7829,251
02011400,0.6640,0.7197,0.8169,1.0754,253
02011460,0.6507,0.5723,0.8361,0.8273,253
02013000,0.9149,0.8413,0.9593,1.1467,253
02014000,0.6410,0.8054,0.8123,1.0087,252
02015700,0.8974,0.8021,0.9596,1.0341,237
02016000,0.7743,0.6853,0.8995,0.8148,253
02017500,0.6540,0.7438,0.8781,1.0638,250
02018000,0.7459,0.8702,0.8793,1.0185,246
02027000,0.7373,0.7107,0.8932,0.7341,233
02027500,0.7037,0.5533,0.9179,0.6099,236
02028500,0.6646,0.6411,0.8403,0.8262,227
02038850,0.3212,0.5575,0.6116,0.8891,251
02046000,0.7129,0.4832,0.9135,1.5073,243
02051000,0.6940,0.6801,0.8769,1.2640,253
02051500,0.7390,0.6815,0.8733,1.2653,251
02053200,0.1738,0.3295,0.6835,1.5885,210
02053800,0.5971,0.5562,0.8009,0.8973,234
02055100,0.7403,0.6829,0.8780,1.0537,251
02056900,0.8248,0.8989,0.9186,0.9715,228
02059500,0.7784,0.6886,0.9269,0.7537,222
02064000,0.6644,0.5052,0.8865,0.7247,241
02065500,0.5977,0.4865,0.9019,0.6174,251
02069700,-0.0316,0.4793,0.6891,1.3459,226
02070000,0.3275,0.5805,0.7842,1.3027,253
02074500,0.3857,0.6848,0.7398,1.1248,253
02077200,0.7464,0.7768,0.8652,1.0613,252
02081500,0.5199,0.4190,0.7557,1.5091,253
02082950,0.2876,0.3562,0.8178,1.5135,253
02092500,-0.0985,-0.0178,0.6545,1.9573,253
02096846,-1.5227,-0.3351,0.4051,1.9968,253
02102908,0.5582,0.7065,0.7539,0.9620,253
02108000,0.7775,0.7571,0.8887,1.0940,253
02111180,0.6884,0.6659,0.8431,1.1009,253
02111500,0.5908,0.7707,0.7866,1.0504,253
02118500,0.5224,0.7588,0.7953,1.0941,253
02128000,-0.0981,-0.5947,0.8394,2.4894,253
02137727,0.0788,0.4500,0.7857,1.1579,253
02140991,0.6548,0.7272,0.8755,1.2425,253
02143000,-0.9495,0.1034,0.8182,1.3739,253
02143040,-1.5804,-0.1934,0.7250,1.2243,251
02149000,0.3644,0.4318,0.8840,1.2993,253
02152100,0.3616,0.5263,0.8634,1.1397,253
02177000,0.6760,0.6582,0.8531,1.0998,253
02178400,0.6622,0.6979,0.8182,1.0288,253
02193340,-0.7148,-0.0927,0.8210,1.4751,253
02196000,0.6079,0.3871,0.8591,0.6460,253
02198100,0.4683,0.3507,0.8276,1.6143,253
02202600,-0.3791,-0.9365,-0.4770,1.7935,253
02212600,0.7886,0.6322,0.8969,1.3503,251
02215100,0.3577,0.3540,0.6124,0.8614,253
02216180,0.3737,0.2080,0.7373,0.6578,253
02221525,0.6932,0.6281,0.8602,1.1959,251
02231000,-0.4126,0.0017,0.6461,1.8423,253
02231342,0.6291,0.5524,0.8137,1.2211,253
02235200,0.6264,0.6647,0.8131,1.1033,252
02245500,-1.8841,-0.1804,0.6126,1.2602,253
02246000,0.5651,0.6555,0.8742,0.9800,251
02296500,0.5660,0.4619,0.7975,1.2062,242
02297155,0.4104,0.1364,0.8341,0.3731,252
02297310,0.5858,0.6851,0.7722,0.8583,251
02298123,0.6607,0.5937,0.8357,0.7920,253
02298608,0.7647,0.4627,0.9365,1.5319,253
02299950,0.7034,0.8519,0.8531,1.0165,253
02300700,0.6966,0.7828,0.8362,0.9331,253
02310947,-0.1939,-0.7579,-0.3224,1.8060,253
02312200,-0.4423,-1.2146,-0.2601,2.5988,253
02314500,-0.4140,-0.6050,-0.2935,0.5033,253
02315500,-0.3879,-0.7360,-0.3469,0.3730,253
02324400,-0.1479,-0.3616,0.3476,0.1584,253
02327100,-2.4655,-1.1168,0.8429,2.7598,249
02349900,0.4708,0.3883,0.7308,1.2039,253
02350900,0.5778,0.5569,0.9152,0.6959,253
02361000,0.7840,0.7362,0.9295,0.7649,253
02363000,0.6178,0.2881,0.9505,0.4878,250
02369800,0.7409,0.6340,0.8865,0.8639,251
02371500,0.6134,0.4394,0.9019,0.9055,252
02372250,0.7633,0.6075,0.9282,1.0238,250
02374500,0.8067,0.7400,0.9108,0.8849,253
02381600,0.4329,0.4939,0.6594,1.0341,253
02384540,0.3113,0.2935,0.6309,0.7825,253
02395120,0.1507,0.6083,0.6611,1.0174,253
02408540,0.7634,0.8656,0.8816,1.0619,253
02415000,0.8139,0.8017,0.9225,1.1826,243
02422500,0.7602,0.8158,0.8984,1.1521,235
02427250,0.7579,0.7072,0.8755,1.2411,253
02430085,0.2042,0.4391,0.5069,1.0375,253
02450250,0.5854,0.5847,0.7745,1.1342,252
02464000,0.8447,0.8240,0.9277,1.1561,253
02465493,0.7492,0.8025,0.8796,1.1339,249
02469800,0.6901,0.4776,0.9070,0.6658,250
02472000,0.8519,0.6753,0.9491,0.7978,253
02472500,0.8077,0.8269,0.9108,0.8540,253
02479155,0.7637,0.7307,0.8805,0.9107,253
02479300,0.6789,0.6996,0.8262,0.9013,253
02481000,0.7229,0.5937,0.8681,0.7479,252
02481510,0.7991,0.5813,0.9401,0.7577,253
03010655,0.6351,0.5235,0.8858,0.6783,224
03011800,0.4464,0.5361,0.7076,0.7898,252
03015500,0.7728,0.8028,0.8854,0.8855,253
03021350,0.7589,0.7598,0.8827,0.8067,250
03026500,0.6527,0.6541,0.8253,0.8383,253
03028000,0.5828,0.5889,0.8559,0.6907,253
03049800,0.4073,0.3481,0.6909,0.6993,251
03050000,0.5208,0.6729,0.8424,1.0870,250
03066000,0.7896,0.8184,0.8931,0.8922,253
03069500,0.7492,0.6943,0.8834,0.7983,251
03070500,0.6571,0.7076,0.8925,1.0920,253
03076600,0.7387,0.5943,0.9092,0.7418,253
03078000,0.5617,0.4717,0.7991,0.7289,253
03140000,0.7203,0.6292,0.8793,0.9919,251
03144000,0.6818,0.6516,0.8819,1.2928,252
03159540,0.8858,0.8272,0.9471,1.0497,253
03161000,0.8360,0.8600,0.9219,0.9244,253
03164000,0.5376,0.7299,0.7658,0.9052,253
