gauge_id,nse,kge,corr,bias,n_days
01013500,0.8993,0.8108,0.9591,0.8610,236
01022500,0.8573,0.7332,0.9498,1.0148,236
01030500,0.8107,0.7997,0.9333,1.0926,236
01031500,0.8029,0.8663,0.8963,0.9942,234
01047000,0.7098,0.8176,0.8447,0.9892,236
01052500,0.4427,0.3799,0.7083,0.6764,236
01054200,0.5945,0.3956,0.8333,0.5727,234
01055000,0.5198,0.6795,0.7301,0.9383,234
01057000,0.8377,0.7370,0.9347,0.9052,234
01073000,0.8500,0.9091,0.9264,1.0525,236
01078000,0.6535,0.4947,0.8871,0.6927,234
01118300,0.5350,0.7562,0.7697,0.9200,234
01121000,0.7186,0.5812,0.9370,1.3261,234
01123000,0.8222,0.8092,0.9382,1.0290,236
01134500,0.8089,0.7992,0.9046,0.8820,234
01137500,0.5771,0.5751,0.7834,0.7942,234
01139000,0.8726,0.8496,0.9394,0.9047,232
01139800,0.8416,0.8661,0.9244,1.1020,236
01142500,0.7665,0.7317,0.8917,0.8566,234
01144000,0.8883,0.9400,0.9458,0.9890,236
01169000,0.7386,0.8155,0.8608,1.0562,234
01170100,0.7964,0.8134,0.8956,0.9131,233
01181000,0.8066,0.7315,0.9418,1.1616,234
01187300,0.8408,0.7068,0.9465,0.9893,236
01195100,0.5876,0.5997,0.7740,0.9582,236
01333000,0.6743,0.6319,0.8406,0.8454,234
01350000,0.5403,0.3723,0.8275,0.7205,233
01350080,0.6372,0.5015,0.8540,0.6909,236
01350140,0.7516,0.6130,0.9035,0.6624,186
01365000,0.8134,0.6724,0.9326,0.8349,234
01411300,0.4640,0.5476,0.7687,1.3523,228
01413500,0.7794,0.6205,0.9314,0.8494,234
01414500,0.4420,0.2882,0.7942,0.6234,234
01415000,0.4818,0.3753,0.7985,0.6734,191
01423000,0.5601,0.4637,0.8235,0.7389,236
01434025,0.5914,0.7075,0.8132,0.7765,236
01435000,0.8999,0.8017,0.9599,0.9292,235
01439500,0.7703,0.7139,0.9083,0.8196,234
01440000,0.8915,0.8533,0.9481,0.9815,237
01440400,0.8675,0.8787,0.9408,1.0987,210
01451800,0.6671,0.7382,0.8188,1.0785,234
01466500,-1.9333,-0.4808,0.8463,1.0090,235
01484100,0.1068,0.5058,0.7398,1.3512,236
01485500,-9.3789,-1.9200,0.5236,2.9031,231
01486000,-3.1567,-0.5358,0.5461,2.0240,236
01487000,-0.1071,0.3525,0.7873,1.1497,236
01491000,0.7152,0.6483,0.8675,0.9693,236
01510000,0.8449,0.7550,0.9350,1.0100,236
01516500,0.4363,0.2653,0.8159,0.6054,236
01518862,0.5266,0.4128,0.8166,0.6535,236
01532000,0.5989,0.7931,0.8248,0.9979,234
01539000,0.8294,0.8785,0.9152,0.9262,218
01542810,0.6354,0.5695,0.8269,0.8182,234
01543000,0.7534,0.7384,0.8841,0.8244,236
01543500,0.8103,0.6966,0.9351,0.8183,234
01544500,0.6241,0.4830,0.9101,0.6588,236
01545600,0.5275,0.3709,0.8874,0.6410,236
01547700,0.7597,0.7048,0.9386,1.0352,236
01548500,0.5392,0.4046,0.8676,0.6394,234
01549500,0.6351,0.5202,0.8698,0.7096,234
01550000,0.5305,0.5925,0.7714,0.7285,234
01552000,-0.2757,0.2654,0.7669,0.9564,236
01552500,0.7210,0.8576,0.8670,0.9674,236
01557500,0.1375,0.5037,0.7464,1.2497,236
01567500,0.5563,0.6173,0.7537,1.1123,236
01568000,0.6292,0.6702,0.8110,1.1934,236
01580000,0.4928,0.6362,0.7090,0.9566,232
01583500,0.4182,0.5952,0.6769,0.8737,236
01586610,0.7270,0.7465,0.8744,0.8364,202
01591400,0.0753,0.5468,0.6927,1.1154,236
01594950,,,,,0
01596500,0.6111,0.4222,0.8799,0.7074,234
01605500,0.4546,0.6365,0.7047,1.1455,234
01606500,0.7262,0.6555,0.8771,0.8004,209
01613050,0.2768,0.5122,0.5840,1.1646,236
01620500,0.4822,0.3295,0.8077,0.5190,234
01632000,0.6158,0.7264,0.7926,1.1299,234
01632900,0.3232,0.6377,0.7595,1.0952,234
01634500,0.4512,0.5221,0.6720,0.9860,219
01638480,-0.5633,-0.0372,0.7429,1.9239,231
01639500,0.7361,0.7289,0.8682,1.1497,236
01644000,-0.3351,-0.0070,0.8340,1.9329,236
01658500,-0.7891,0.0898,0.5741,1.5696,205
01664000,0.7824,0.8522,0.8872,1.0608,236
01666500,0.2614,0.5602,0.6784,1.3000,221
01667500,0.4737,0.6850,0.7614,1.2047,214
01669000,-0.7061,0.2370,0.6200,1.2625,211
01669520,-3.1181,-0.5639,0.7754,1.9121,234
02011400,0.6591,0.7193,0.8133,1.0624,236
02011460,0.6461,0.5587,0.8377,0.8029,236
02013000,0.9168,0.8548,0.9600,1.1323,236
02014000,0.6218,0.7963,0.8056,1.0492,233
02015700,0.9020,0.8108,0.9609,0.9911,219
02016000,0.7688,0.6830,0.8970,0.8130,233
02017500,0.6466,0.7399,0.8757,1.0726,234
02018000,0.7416,0.8665,0.8764,1.0342,229
02027000,0.7238,0.7132,0.8896,0.7373,216
02027500,0.6887,0.5583,0.9153,0.6125,219
02028500,0.6623,0.6676,0.8319,0.8515,211
02038850,0.3028,0.5259,0.5939,0.8775,234
02046000,0.6464,0.4245,0.9007,1.5624,226
02051000,0.7015,0.6995,0.8803,1.2405,236
02051500,0.7172,0.6748,0.8686,1.2939,234
02053200,0.3023,0.4236,0.6941,1.4872,210
02053800,0.5853,0.5507,0.7943,0.8825,217
02055100,0.7245,0.6722,0.8682,1.0387,234
02056900,0.8361,0.8920,0.9260,0.9493,211
02059500,0.7616,0.6863,0.9235,0.7470,205
02064000,0.6589,0.5024,0.8840,0.7165,224
02065500,0.5979,0.4927,0.9022,0.6275,234
02069700,0.0199,0.5108,0.6832,1.3160,209
02070000,0.3363,0.5931,0.7750,1.3008,234
02074500,0.3701,0.6831,0.7359,1.1071,236
02077200,0.7486,0.7735,0.8674,1.1003,231
02081500,0.6262,0.5094,0.8068,1.3941,236
02082950,0.1895,0.3265,0.7948,1.5318,236
02092500,-0.0764,0.0227,0.6502,1.9125,236
02096846,-1.1484,-0.1687,0.4105,1.8658,236
02102908,0.3864,0.7064,0.7317,1.0251,236
02108000,0.7684,0.7688,0.8812,1.0762,236
02111180,0.7918,0.6938,0.9147,1.1273,236
02111500,0.5525,0.7325,0.7575,1.0336,234
02112120,,,,,0
02112360,,,,,0
02118500,0.6634,0.8236,0.8353,1.0618,236
02125000,,,,,0
02128000,-0.2237,-0.6130,0.8173,2.4970,236
02137727,0.1948,0.5514,0.7647,1.1178,236
02140991,0.5750,0.6944,0.8039,1.1891,236
02143000,-0.9899,0.0686,0.8245,1.3691,236
02143040,-2.0449,-0.3015,0.6915,1.2073,234
02149000,0.1275,0.3963,0.8260,1.2763,236
02152100,0.3337,0.5047,0.8621,1.1313,237
02177000,0.6858,0.6640,0.8522,1.0793,234
02178400,0.6574,0.7025,0.8120,1.0029,234
02193340,-0.7531,-0.1037,0.8185,1.4817,236
02196000,0.6037,0.3864,0.8551,0.6444,236
02198100,0.1924,0.2155,0.7703,1.7108,236
02202600,-0.3078,-0.8763,-0.4523,1.6841,236
02212600,0.7751,0.5976,0.8916,1.3853,234
02215100,0.3443,0.3408,0.6015,0.8457,236
02216180,0.3806,0.1919,0.7432,0.6051,234
02221525,0.6910,0.6506,0.8527,1.1645,234
02231000,-6.4175,-1.3476,0.4913,2.4819,236
02231342,-0.2870,-0.0160,0.8596,1.7645,236
02235200,-0.7719,0.2688,0.3451,1.2642,235
02245500,-5.4754,-1.1356,0.7060,1.4838,236
02246000,-0.1960,0.2605,0.7987,1.0427,234
02296500,-0.9255,-0.8047,0.7108,2.7376,225
02297155,0.2194,0.0227,0.7086,0.3795,235
02297310,0.5479,0.7778,0.7877,1.0338,226
02298123,0.5279,0.4691,0.7585,0.7340,236
02298608,0.4343,0.3062,0.8762,1.6736,236
02299950,0.6252,0.8098,0.8239,1.0478,236
02300700,0.6799,0.7626,0.8256,0.9327,236
02310947,-2.4248,-3.2137,-0.3755,4.9521,236
02312200,-29.0087,-4.5504,0.4233,6.5163,236
02314500,-0.3323,-0.5045,-0.2155,0.5839,236
02315500,-0.3534,-0.6342,-0.2801,0.4666,236
02324400,-0.1951,-1.0181,-0.5207,0.1189,236
02327100,-3.6781,-1.5533,0.8581,3.0479,234
02342933,,,,,0
02349900,0.4503,0.3678,0.7145,1.2271,236
02350900,0.5770,0.5650,0.9076,0.7114,236
02361000,0.7680,0.7150,0.9283,0.7533,236
02363000,0.5774,0.2597,0.9488,0.4803,234
02369800,0.7360,0.6244,0.8874,0.8727,235
02371500,0.5441,0.3626,0.8974,0.8468,236
02372250,0.7193,0.5621,0.9155,0.9795,234
02374500,0.7734,0.7562,0.8852,0.9485,236
02381600,0.5178,0.5710,0.7230,1.0593,218
02384540,0.2723,0.2849,0.5934,0.7694,236
02395120,0.1333,0.6013,0.6571,1.0133,236
02408540,0.7676,0.8674,0.8826,1.0567,236
